Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
4549,Elisa Oyj,Helsinki,2019-04-28T00:00:03.044744Z,130.30632152608462,28.237,33892732.50388552,15841330.169164501,,109.240.230.177
4549,Elisa Oyj,Helsinki,2019-04-28T00:17:02.710623Z,130.30632152608462,27.385,27550353.91056173,15861586.248120572,,109.240.230.177
4113,AinaCom Oy,Hameenlinna,2019-04-28T00:34:03.126329Z,36.37059663370756,30.118,34829390.30011897,15284777.178168867,,109.240.230.177
4549,Elisa Oyj,Helsinki,2019-04-28T00:51:03.532983Z,130.30632152608462,26.112,38651101.22674497,17917171.12051829,,109.240.230.177
4113,AinaCom Oy,Hameenlinna,2019-04-28T01:00:02.839867Z,36.37059663370756,27.92,26592670.64409083,16963086.94527202,,109.240.230.177
4549,Elisa Oyj,Helsinki,2019-04-28T01:17:02.868426Z,130.30632152608462,29.416,31975404.320320956,15055920.441308005,,109.240.230.177
4113,AinaCom Oy,Hameenlinna,2019-04-28T01:34:03.095543Z,36.37059663370756,29.104,39028730.16286923,16047809.61873172,,109.240.230.177
4549,Elisa Oyj,Helsinki,2019-04-28T01:51:02.934245Z,130.30632152608462,27.383,40103421.08027465,16395100.794277895,,109.240.230.177
4113,AinaCom Oy,Hameenlinna,2019-04-28T02:00:03.668014Z,36.37059663370756,26.771,42066729.15141144,16962800.88658387,,109.240.230.177
4549,Elisa Oyj,Helsinki,2019-04-28T02:17:02.962944Z,130.30632152608462,30.785,36871729.135847084,18791180.399944086,,109.240.230.177
4549,Elisa Oyj,Helsinki,2019-04-28T02:34:03.284698Z,130.30632152608462,27.232,34520657.55867824,19854559.38224291,,109.240.230.177
4113,AinaCom Oy,Hameenlinna,2019-04-28T02:51:03.376050Z,36.37059663370756,25.944,39670790.75585222,17372606.56414794,,109.240.230.177
4549,Elisa Oyj,Helsinki,2019-04-28T03:00:02.865927Z,130.30632152608462,27.736,36084357.72055946,15417743.835740883,,109.240.230.177
4549,Elisa Oyj,Helsinki,2019-04-28T03:17:02.956813Z,130.30632152608462,25.085,40019089.79282581,17521310.79894614,,109.240.230.177
4549,Elisa Oyj,Helsinki,2019-04-28T03:34:02.911972Z,130.30632152608462,28.565,37450561.47806766,17709736.033866283,,109.240.230.177
4549,Elisa Oyj,Helsinki,2019-04-28T03:51:02.730692Z,130.30632152608462,28.091,32179313.421948165,14540528.20785804,,109.240.230.177
4549,Elisa Oyj,Helsinki,2019-04-28T04:00:02.878522Z,130.30632152608462,29.612,35753076.429091595,18407616.383960936,,109.240.230.177
4549,Elisa Oyj,Helsinki,2019-04-28T04:17:02.869696Z,130.30632152608462,25.892,40569254.38311848,15556747.98913395,,109.240.230.177
4549,Elisa Oyj,Helsinki,2019-04-28T04:34:03.137074Z,130.30632152608462,28.255,37430428.41023589,18470493.161021907,,109.240.230.177
4113,AinaCom Oy,Hameenlinna,2019-04-28T04:51:02.679700Z,36.37059663370756,31.238,26507780.861572236,14074966.350620937,,109.240.230.177
